x,y
5.506482556262544676e+02,2.783056872453623214e+02
5.240564524289720794e+02,2.898809680997097757e+02
5.287638590225581083e+02,2.162110160995757155e+02
6.342789336787614047e+02,2.520380698751592661e+02
4.978393224757259645e+02,1.868450697804118192e+02
5.170769353214296871e+02,2.462023873567439125e+02
6.433369187147312687e+02,2.287941695392320014e+02
6.436956418599611425e+02,2.628306647122144000e+02
4.362311068209951372e+02,2.667589600792658189e+02
5.995815960613742845e+02,2.962527681475716577e+02
5.579235633492583020e+02,2.264525570871925595e+02
5.757738246249502936e+02,2.021466501246887049e+02
5.122705611433596005e+02,2.488442693281787683e+02
6.050178419931517055e+02,2.659516526645344356e+02
4.762402984879823862e+02,1.862732301147775331e+02
6.437537661313114086e+02,2.348472557838569799e+02
5.450324228770213040e+02,2.302630013680283696e+02
6.158808567041278366e+02,2.340966333787301608e+02
5.766730240595290979e+02,2.236990732935607014e+02
6.323885109977101138e+02,2.073909795607638955e+02
5.908051620203492575e+02,2.541403037264557270e+02
6.503693019184149762e+02,2.291954963121707465e+02
6.787497895898997058e+02,1.611069317896058237e+02
5.001845504986467859e+02,1.595714766700295115e+02
5.856182165655864083e+02,2.508214521960557590e+02
5.046292537792760982e+02,2.047968462260621720e+02
5.806288005315005876e+02,2.016853309388634443e+02
5.128345992595986900e+02,2.088716182413744207e+02
5.355094745624646748e+02,2.483282400137074433e+02
6.412389427726474196e+02,2.006724008438117153e+02
5.522903467421539290e+02,1.728917298432371581e+02
5.625860585619728909e+02,2.692941966090082246e+02
5.535070565827525115e+02,2.442816198353197592e+02
6.743569214771049474e+02,2.478024673036552770e+02
6.420380036878675583e+02,2.064330470595307645e+02
6.234382477877986730e+02,2.493277526411586109e+02
6.369673916199433279e+02,2.292040627235986392e+02
6.803755099180439174e+02,2.189795781590658237e+02
7.298825635843630835e+02,2.106206112925146385e+02
6.292719515337123539e+02,2.351592086614861614e+02
6.066027340162926293e+02,2.870634772525575045e+02
5.887615097807788516e+02,2.715257780622506516e+02
6.149498596551287619e+02,2.873488556847734117e+02
5.280823154288933665e+02,3.184113625339319356e+02
6.091117608754245794e+02,3.059210819098162801e+02
5.338768765623631225e+02,3.145595619781785217e+02
5.155876383049935612e+02,2.441636565684716516e+02
5.627221040247893598e+02,1.638617094950536739e+02
5.778575223370266940e+02,2.046240285233201348e+02
7.510179893478378972e+02,1.725090974699787694e+02
6.250256536034969486e+02,1.304784762567494454e+02
6.259518311493625333e+02,2.555830435651108701e+02
7.069708013678445013e+02,1.657108434268250505e+02
6.650855270968594368e+02,1.837203141014339280e+02
7.241716151206344421e+02,1.250983389338043992e+02
7.699523383834796277e+02,1.531363648961875299e+02
6.308091132475161658e+02,1.386819791865864318e+02
7.213304196823301027e+02,1.937540760291474271e+02
7.698146000078951374e+02,1.801419266962809047e+02
6.679990615441971613e+02,2.603394567487771383e+02
7.350396117755271916e+02,2.591387244794390199e+02
6.539557762819498521e+02,1.738350923468871656e+02
6.561398411373255612e+02,2.568156687555217559e+02
7.056698164501781321e+02,1.441821262950625737e+02
6.597686994536090879e+02,2.426677758319340228e+02
7.067409413781846297e+02,2.610583520816137479e+02
6.190831537095766635e+02,2.727100652374800802e+02
7.159935736500722214e+02,2.175221110152282904e+02
7.366405415322761883e+02,1.720665825795795172e+02
6.619146620976054010e+02,2.924500653856081840e+02
7.083379864014896157e+02,2.317509840824766343e+02
6.976441733450333231e+02,3.342170802071976823e+02
4.312648447170950021e+02,3.164221297666073269e+02
5.640059772220264449e+02,1.577714593502089429e+02
5.886326407434054317e+02,2.480757118449869552e+02
5.510223369753845191e+02,2.574725407713244181e+02
5.454486642057102017e+02,2.217848466519294846e+02
6.342035864930877551e+02,2.338154749482386876e+02
6.223235097634840258e+02,2.176225395417972095e+02
6.125941509658903215e+02,2.489707748973490880e+02
6.879992979713433670e+02,1.585091860977272233e+02
5.719174844130610609e+02,1.606393395305142917e+02
5.641946784659987770e+02,2.120292592290571747e+02
6.485056769759715962e+02,2.060565513997044889e+02
5.705373552827759340e+02,1.691575193018964569e+02
5.896663878014443299e+02,1.787710148073229277e+02
5.467694547841995245e+02,2.533802199888282871e+02
7.566715099942239249e+02,1.589794519378803841e+02
6.238774549625361487e+02,2.105735739147270920e+02
5.978672977819915104e+02,1.874117606386886905e+02
5.381692573503064523e+02,2.791815771226941933e+02
6.653376009581946846e+02,2.304068774018531656e+02
5.788466797951601848e+02,2.053779422607013885e+02
5.443814151540271951e+02,2.099451585116211163e+02
6.060227626393119635e+02,1.816652943841639001e+02
6.516659152514854441e+02,1.770757032332317920e+02
6.479089777318006327e+02,2.092750998738190447e+02
5.712473200823892512e+02,1.935697949553678825e+02
6.530289662773697046e+02,2.319532596277634866e+02
6.231716986829952702e+02,1.816687494707960298e+02
6.892462113277281333e+02,1.979632374773332231e+02
6.225108666602787935e+02,1.976763655244436677e+02
5.702621260701956771e+02,2.367089918583113217e+02
7.030894078022164422e+02,1.838940405658573241e+02
6.628148826938356706e+02,2.012197798986394446e+02
6.776507073135993551e+02,1.577823086453422263e+02
6.801874439261614498e+02,1.841854666602820032e+02
6.075978750273533251e+02,2.065979353400861100e+02
7.395992959200393670e+02,2.102462065468909884e+02
6.517523175335385304e+02,1.668296361206145662e+02
6.126341362622761153e+02,2.975675656898154102e+02
4.801262978375008288e+02,2.481377603134654635e+02
6.119515406049358717e+02,1.964655731865059920e+02
6.530368786799245981e+02,1.742018897135621103e+02
6.430372795467036440e+02,2.190425064273089504e+02
5.817779909272643408e+02,2.123803799740157672e+02
6.378267464450074158e+02,2.471665162330962175e+02
6.120434947568751340e+02,2.391989493479348994e+02
7.886219285347616506e+02,1.942916354970878388e+02
7.133017098839810615e+02,1.625633859649964279e+02
6.648080831462277729e+02,2.463897649395379119e+02
6.433056084070593670e+02,1.997880909729032624e+02
6.688279756160964098e+02,2.257216063971821995e+02
7.359010623342326198e+02,1.543533321651114250e+02
6.067342534739104849e+02,1.907029111584607222e+02
6.538723551554201094e+02,2.269467648287885595e+02
6.172748212432337596e+02,1.954312816662344687e+02
7.543700310124318094e+02,1.492490247888646877e+02
7.185299572175561025e+02,1.405805755423752146e+02
6.884171262643042155e+02,2.206370014251586724e+02
6.308719310606353474e+02,1.972933974891123228e+02
6.142453455474410475e+02,1.760379704919579353e+02
6.142707019088211382e+02,2.030570068655220553e+02
5.751266483733762698e+02,2.027939381475601692e+02
